ride_id,started_at,ended_at,member_casual,ride_length_minutes,day_of_week
00000200B7A4DA07,2025-10-29 16:48:39.6610000,2025-10-29 16:58:07.4790000,member,10,Wednesday
0000029B778CA463,2025-09-21 12:51:21.2640000,2025-09-21 13:10:16.5910000,member,19,Sunday
000005FEB916CC34,2025-09-10 08:24:30.0020000,2025-09-10 08:28:21.3300000,member,4,Wednesday
0000061C448FA97B,2025-05-10 09:41:32.9510000,2025-05-10 09:53:55.6120000,member,12,Saturday
000007FB32A2880F,2025-06-14 12:57:38.0760000,2025-06-14 13:26:52.8490000,member,29,Saturday
0000089A39F401EE,2025-05-12 19:06:04.6650000,2025-05-12 19:12:26.7290000,member,6,Monday
00000D38A7D3DFDB,2025-10-08 07:53:56.7460000,2025-10-08 08:06:06.3130000,member,13,Wednesday
00000D7207B86116,2025-04-15 18:57:42.2330000,2025-04-15 19:05:22.6380000,member,8,Tuesday
00001108B8CC7904,2025-03-29 20:42:43.4320000,2025-03-29 20:53:23.2120000,casual,11,Saturday
0000142A65B1CF3E,2025-05-24 07:44:57.0290000,2025-05-24 08:09:20.9960000,casual,25,Saturday
00001445CE31EFB5,2025-03-19 18:29:49.3860000,2025-03-19 18:36:05.0420000,member,7,Wednesday
0000212B29BB4635,2025-07-29 08:17:23.9930000,2025-07-29 08:26:57.9780000,member,9,Tuesday
00002181A500969F,2025-11-07 09:20:53.9340000,2025-11-07 09:25:44.1910000,member,5,Friday
0000226B61593E1A,2025-09-09 09:10:13.1600000,2025-09-09 09:13:16.5760000,casual,3,Tuesday
000023862D594B09,2025-08-23 06:29:43.6360000,2025-08-23 07:14:53.9380000,casual,45,Saturday
000027A44F228403,2025-06-12 17:01:29.8820000,2025-06-12 17:06:04.5780000,member,5,Thursday
00002B81C97E4869,2025-09-18 07:05:55.9620000,2025-09-18 07:52:36.1250000,member,47,Thursday
00002C3586EA067A,2025-07-29 18:54:14.4960000,2025-07-29 19:02:39.6790000,member,8,Tuesday
00002D407700C519,2025-02-21 20:59:41.0300000,2025-02-21 21:05:29.6000000,casual,6,Friday
00002DDD2EAB01BB,2025-07-14 10:33:06.0540000,2025-07-14 10:40:53.0250000,casual,7,Monday
000033CA36786F12,2025-11-12 16:09:31.7080000,2025-11-12 16:21:52.3150000,member,12,Wednesday
00003574B5E68B29,2025-07-02 07:30:29.7480000,2025-07-02 07:35:01.0060000,member,5,Wednesday
00003B67F03CB576,2025-07-23 09:14:54.1940000,2025-07-23 09:30:32.2510000,member,16,Wednesday
00003C59FEEC0836,2025-08-16 01:34:47.8050000,2025-08-16 01:40:54.1460000,member,6,Saturday
0000405C0447DF55,2025-02-24 15:37:47.9330000,2025-02-24 15:44:24.6560000,casual,7,Monday
000042CE8095C4E5,2025-08-06 19:34:32.9050000,2025-08-06 19:58:45.4970000,casual,24,Wednesday
000042EA4E80EE16,2025-08-06 12:52:54.6190000,2025-08-06 13:03:31.4750000,casual,11,Wednesday
000049F8B3749B68,2025-03-14 19:57:10.0770000,2025-03-14 20:15:49.8860000,member,18,Friday
00004ABCA2C9502A,2025-07-17 22:04:02.1460000,2025-07-17 22:11:48.2410000,casual,7,Thursday
00004E8EBC52D72E,2025-11-07 18:49:27.9200000,2025-11-07 18:56:09.7500000,casual,7,Friday
